time,t2m
1979-08-01,295.90775
1980-08-01,296.47205
1981-08-01,296.62836
1982-08-01,296.79858
1983-08-01,296.417
1984-08-01,295.97708
1985-08-01,296.8816
1986-08-01,296.78336
1987-08-01,295.92496
1988-08-01,296.26
1989-08-01,295.81232
1990-08-01,295.73566
1991-08-01,296.2043
1992-08-01,296.38522
1993-08-01,296.14145
1994-08-01,298.14615
1995-08-01,297.93506
1996-08-01,297.20987
1997-08-01,296.9734
1998-08-01,297.37552
1999-08-01,296.41394
2000-08-01,297.40964
2001-08-01,297.34534
2002-08-01,297.38797
2003-08-01,297.70102
2004-08-01,296.3833
2005-08-01,296.6622
2006-08-01,296.49988
2007-08-01,297.88382
2008-08-01,297.08716
2009-08-01,297.3924
2010-08-01,297.37265
2011-08-01,298.76227
2012-08-01,298.35068
2013-08-01,297.25693
2014-08-01,296.2248
2015-08-01,298.09528
2016-08-01,296.85754
2017-08-01,297.3851
2018-08-01,297.91885
2019-08-01,298.90436
2020-08-01,300.06668
