year,t2m
1979,277.16074990780294
1980,277.0309651423943
1981,277.97289102920786
1982,277.91908655856463
1983,277.9752028949264
1984,277.65083808571626
1985,277.41882816909106
1986,277.9112648437276
1987,276.91748993607985
1988,277.72907939714634
1989,278.77625032870094
1990,279.2602816123905
1991,277.87346710183135
1992,277.73297789054004
1993,278.058037433148
1994,278.33474761794093
1995,278.8209803998116
1996,277.5667675853967
1997,279.12484889056657
1998,278.015160850305
1999,277.8753178377775
2000,279.26812974506953
2001,278.86348174063374
2002,279.1066104181973
2003,278.3797955391795
2004,278.4902593558795
2005,278.74264131443846
2006,278.3030515291256
2007,279.5843166569334
2008,279.54500524545455
2009,278.8267706137336
2010,278.6060681143113
2011,279.5142155918526
2012,279.21937005480567
2013,278.59269492530194
2014,279.92328751623876
2015,279.67211449931193
2016,280.0090266245834
2017,279.5591747694654
2018,278.9913884658787
2019,279.6144377690262
2020,280.41497364600104
