year,t2m
1979,266.65097141703075
1980,266.79609927662864
1981,269.2740331818739
1982,268.5962196114288
1983,267.9468728805639
1984,267.07417818372403
1985,267.8912040051255
1986,268.25612078006367
1987,267.0911149640155
1988,268.0963513978802
1989,269.56105926832976
1990,271.75326795939054
1991,268.2620668641141
1992,268.154216292623
1993,269.1728196359887
1994,269.1389590672084
1995,269.91217040084797
1996,268.1323734577927
1997,272.3977557225751
1998,268.4448002094843
1999,266.96387100149207
2000,270.21674914234524
2001,268.9888971504182
2002,270.135332054374
2003,269.3800751823745
2004,267.88253766437566
2005,270.1132876880773
2006,267.71874490795454
2007,270.5524462140266
2008,270.1675639036879
2009,269.16438830163275
2010,268.5795422794903
2011,272.2449423606069
2012,270.16287836962215
2013,268.7395014737492
2014,271.88618408734544
2015,271.41594610239616
2016,271.15836551040627
2017,271.51674210281277
2018,268.543448718403
2019,271.22545389225064
2020,274.0396281277347
