leadtime,time,number,t2m
2,1981-08-01,0,296.64932
2,1981-08-01,1,298.36838
2,1981-08-01,2,296.82657
2,1981-08-01,3,297.5015
2,1981-08-01,4,298.23172
2,1981-08-01,5,297.81915
2,1981-08-01,6,297.60483
2,1981-08-01,7,297.9105
2,1981-08-01,8,298.1299
2,1981-08-01,9,297.40002
2,1981-08-01,10,297.25107
2,1981-08-01,11,296.53818
2,1981-08-01,12,298.40897
2,1981-08-01,13,297.31784
2,1981-08-01,14,297.72836
2,1981-08-01,15,297.65344
2,1981-08-01,16,296.8236
2,1981-08-01,17,296.96176
2,1981-08-01,18,298.61108
2,1981-08-01,19,298.0591
2,1981-08-01,20,297.27756
2,1981-08-01,21,297.9967
2,1981-08-01,22,296.36877
2,1981-08-01,23,297.14435
2,1981-08-01,24,297.71313
2,1981-08-01,25,
2,1981-08-01,26,
2,1981-08-01,27,
2,1981-08-01,28,
2,1981-08-01,29,
2,1981-08-01,30,
2,1981-08-01,31,
2,1981-08-01,32,
2,1981-08-01,33,
2,1981-08-01,34,
2,1981-08-01,35,
2,1981-08-01,36,
2,1981-08-01,37,
2,1981-08-01,38,
2,1981-08-01,39,
2,1981-08-01,40,
2,1981-08-01,41,
2,1981-08-01,42,
2,1981-08-01,43,
2,1981-08-01,44,
2,1981-08-01,45,
2,1981-08-01,46,
2,1981-08-01,47,
2,1981-08-01,48,
2,1981-08-01,49,
2,1981-08-01,50,
2,1982-08-01,0,297.0415
2,1982-08-01,1,298.6835
2,1982-08-01,2,298.06104
2,1982-08-01,3,297.01953
2,1982-08-01,4,297.2453
2,1982-08-01,5,298.03577
2,1982-08-01,6,296.4464
2,1982-08-01,7,295.8759
2,1982-08-01,8,297.05585
2,1982-08-01,9,297.15323
2,1982-08-01,10,296.82852
2,1982-08-01,11,296.43796
2,1982-08-01,12,297.17062
2,1982-08-01,13,298.15924
2,1982-08-01,14,296.79694
2,1982-08-01,15,298.2071
2,1982-08-01,16,298.37576
2,1982-08-01,17,296.2076
2,1982-08-01,18,297.8566
2,1982-08-01,19,297.969
2,1982-08-01,20,295.87158
2,1982-08-01,21,297.07098
2,1982-08-01,22,298.6188
2,1982-08-01,23,297.58044
2,1982-08-01,24,298.76437
2,1982-08-01,25,
2,1982-08-01,26,
2,1982-08-01,27,
2,1982-08-01,28,
2,1982-08-01,29,
2,1982-08-01,30,
2,1982-08-01,31,
2,1982-08-01,32,
2,1982-08-01,33,
2,1982-08-01,34,
2,1982-08-01,35,
2,1982-08-01,36,
2,1982-08-01,37,
2,1982-08-01,38,
2,1982-08-01,39,
2,1982-08-01,40,
2,1982-08-01,41,
2,1982-08-01,42,
2,1982-08-01,43,
2,1982-08-01,44,
2,1982-08-01,45,
2,1982-08-01,46,
2,1982-08-01,47,
2,1982-08-01,48,
2,1982-08-01,49,
2,1982-08-01,50,
2,1983-08-01,0,297.7138
2,1983-08-01,1,296.43542
2,1983-08-01,2,297.828
2,1983-08-01,3,298.62512
2,1983-08-01,4,295.60605
2,1983-08-01,5,297.3723
2,1983-08-01,6,296.26752
2,1983-08-01,7,297.05643
2,1983-08-01,8,297.1713
2,1983-08-01,9,297.6106
2,1983-08-01,10,296.4249
2,1983-08-01,11,296.8837
2,1983-08-01,12,297.76376
2,1983-08-01,13,296.7552
2,1983-08-01,14,297.15775
2,1983-08-01,15,296.1678
2,1983-08-01,16,297.6086
2,1983-08-01,17,296.53812
2,1983-08-01,18,297.22284
2,1983-08-01,19,296.93655
2,1983-08-01,20,297.8569
2,1983-08-01,21,296.2658
2,1983-08-01,22,297.2496
2,1983-08-01,23,296.9762
2,1983-08-01,24,296.71072
2,1983-08-01,25,
2,1983-08-01,26,
2,1983-08-01,27,
2,1983-08-01,28,
2,1983-08-01,29,
2,1983-08-01,30,
2,1983-08-01,31,
2,1983-08-01,32,
2,1983-08-01,33,
2,1983-08-01,34,
2,1983-08-01,35,
2,1983-08-01,36,
2,1983-08-01,37,
2,1983-08-01,38,
2,1983-08-01,39,
2,1983-08-01,40,
2,1983-08-01,41,
2,1983-08-01,42,
2,1983-08-01,43,
2,1983-08-01,44,
2,1983-08-01,45,
2,1983-08-01,46,
2,1983-08-01,47,
2,1983-08-01,48,
2,1983-08-01,49,
2,1983-08-01,50,
2,1984-08-01,0,295.42056
2,1984-08-01,1,296.3239
2,1984-08-01,2,296.7506
2,1984-08-01,3,297.095
2,1984-08-01,4,297.1915
2,1984-08-01,5,296.6114
2,1984-08-01,6,296.54922
2,1984-08-01,7,296.58795
2,1984-08-01,8,295.8923
2,1984-08-01,9,296.0954
2,1984-08-01,10,297.08908
2,1984-08-01,11,297.5624
2,1984-08-01,12,295.97162
2,1984-08-01,13,296.12756
2,1984-08-01,14,297.11948
2,1984-08-01,15,297.0832
2,1984-08-01,16,295.59747
2,1984-08-01,17,296.23502
2,1984-08-01,18,296.35162
2,1984-08-01,19,297.68942
2,1984-08-01,20,296.61368
2,1984-08-01,21,295.9994
2,1984-08-01,22,296.2979
2,1984-08-01,23,296.52136
2,1984-08-01,24,295.86
2,1984-08-01,25,
2,1984-08-01,26,
2,1984-08-01,27,
2,1984-08-01,28,
2,1984-08-01,29,
2,1984-08-01,30,
2,1984-08-01,31,
2,1984-08-01,32,
2,1984-08-01,33,
2,1984-08-01,34,
2,1984-08-01,35,
2,1984-08-01,36,
2,1984-08-01,37,
2,1984-08-01,38,
2,1984-08-01,39,
2,1984-08-01,40,
2,1984-08-01,41,
2,1984-08-01,42,
2,1984-08-01,43,
2,1984-08-01,44,
2,1984-08-01,45,
2,1984-08-01,46,
2,1984-08-01,47,
2,1984-08-01,48,
2,1984-08-01,49,
2,1984-08-01,50,
2,1985-08-01,0,296.79266
2,1985-08-01,1,297.26794
2,1985-08-01,2,297.35596
2,1985-08-01,3,297.20316
2,1985-08-01,4,297.6048
2,1985-08-01,5,296.54553
2,1985-08-01,6,296.00958
2,1985-08-01,7,296.75555
2,1985-08-01,8,297.33566
2,1985-08-01,9,297.20795
2,1985-08-01,10,296.81067
2,1985-08-01,11,297.9582
2,1985-08-01,12,297.67596
2,1985-08-01,13,296.48575
2,1985-08-01,14,297.1189
2,1985-08-01,15,298.21506
2,1985-08-01,16,297.22693
2,1985-08-01,17,297.78796
2,1985-08-01,18,296.04248
2,1985-08-01,19,296.5957
2,1985-08-01,20,297.2944
2,1985-08-01,21,296.60284
2,1985-08-01,22,296.31873
2,1985-08-01,23,297.00717
2,1985-08-01,24,297.3517
2,1985-08-01,25,
2,1985-08-01,26,
2,1985-08-01,27,
2,1985-08-01,28,
2,1985-08-01,29,
2,1985-08-01,30,
2,1985-08-01,31,
2,1985-08-01,32,
2,1985-08-01,33,
2,1985-08-01,34,
2,1985-08-01,35,
