year,leadtime,number,t2m
1982,2,0,277.70246025771183
1982,2,1,277.08011537701617
1982,2,2,277.05805243478613
1982,2,3,276.4453399199064
1982,2,4,277.6009365713586
1982,2,5,277.047751954054
1982,2,6,277.0119269100214
1982,2,7,276.5531968521257
1982,2,8,277.3614811043019
1982,2,9,277.52367718429144
1982,2,10,276.70100701306137
1982,2,11,277.36753339092326
1982,2,12,278.0481208363154
1982,2,13,277.2609966984406
1982,2,14,276.74949144605324
1982,2,15,277.64880302032884
1982,2,16,277.82543840398824
1982,2,17,276.25570993721647
1982,2,18,277.2509940410435
1982,2,19,276.73405754284636
1982,2,20,277.89051988786116
1982,2,21,276.5504236359221
1982,2,22,277.2711558459814
1982,2,23,276.7646831531268
1982,2,24,277.3214306990873
1982,2,25,
1982,2,26,
1982,2,27,
1982,2,28,
1982,2,29,
1982,2,30,
1982,2,31,
1982,2,32,
1982,2,33,
1982,2,34,
1982,2,35,
1982,2,36,
1982,2,37,
1982,2,38,
1982,2,39,
1982,2,40,
1982,2,41,
1982,2,42,
1982,2,43,
1982,2,44,
1982,2,45,
1982,2,46,
1982,2,47,
1982,2,48,
1982,2,49,
1982,2,50,
1982,3,0,276.54063303923635
1982,3,1,277.63527275755246
1982,3,2,276.5354068364079
1982,3,3,276.4123594680679
1982,3,4,276.7692398669622
1982,3,5,277.28066018049174
1982,3,6,277.22917802467373
1982,3,7,277.4693735267269
1982,3,8,276.4779831146404
1982,3,9,277.87369590242463
1982,3,10,277.77427116976196
1982,3,11,277.37799564818073
1982,3,12,277.1484366458334
1982,3,13,277.7930451092214
1982,3,14,276.6594540690919
1982,3,15,277.2983347590193
1982,3,16,277.12334488668563
1982,3,17,277.22716024154187
1982,3,18,277.7464997515189
1982,3,19,277.50197754205357
1982,3,20,277.31795319404847
1982,3,21,277.1312271249207
1982,3,22,277.6989972105277
1982,3,23,276.6435018746167
1982,3,24,277.57741204624045
1982,3,25,
1982,3,26,
1982,3,27,
1982,3,28,
1982,3,29,
1982,3,30,
1982,3,31,
1982,3,32,
1982,3,33,
1982,3,34,
1982,3,35,
1982,3,36,
1982,3,37,
1982,3,38,
1982,3,39,
1982,3,40,
1982,3,41,
1982,3,42,
1982,3,43,
1982,3,44,
1982,3,45,
1982,3,46,
1982,3,47,
1982,3,48,
1982,3,49,
1982,3,50,
1982,4,0,276.9438245666912
1982,4,1,277.2254010581155
1982,4,2,277.25375803588247
1982,4,3,276.3163561511919
1982,4,4,277.92401784860505
1982,4,5,276.96125327030336
1982,4,6,277.4227071956871
1982,4,7,277.4636740795601
1982,4,8,277.3579480850228
1982,4,9,276.6402749643216
1982,4,10,277.8117616092559
1982,4,11,276.6900446487349
1982,4,12,277.55926274301737
1982,4,13,277.63400352184686
1982,4,14,277.70273566030744
1982,4,15,277.5929301864802
1982,4,16,277.59940036516383
1982,4,17,277.55528663369984
1982,4,18,277.04582471907906
1982,4,19,277.8014067674634
1982,4,20,277.3304029053023
1982,4,21,276.8967127050232
1982,4,22,276.8397803748649
1982,4,23,277.4986569483884
1982,4,24,278.39669173736604
1982,4,25,
1982,4,26,
1982,4,27,
1982,4,28,
1982,4,29,
1982,4,30,
1982,4,31,
1982,4,32,
1982,4,33,
1982,4,34,
1982,4,35,
1982,4,36,
1982,4,37,
1982,4,38,
1982,4,39,
1982,4,40,
1982,4,41,
1982,4,42,
1982,4,43,
1982,4,44,
1982,4,45,
1982,4,46,
1982,4,47,
1982,4,48,
1982,4,49,
1982,4,50,
1983,2,0,276.6863866605789
1983,2,1,276.6441840882465
1983,2,2,276.8816921933535
1983,2,3,275.99382080276837
1983,2,4,276.57889190327404
1983,2,5,276.56289883910887
1983,2,6,276.29199080067445
1983,2,7,276.3374698151889
1983,2,8,277.134205949801
1983,2,9,277.0875637333077
1983,2,10,277.10672387782887
1983,2,11,277.1358396511825
1983,2,12,276.61527240349506
1983,2,13,277.78741696679293
1983,2,14,277.1221940276471
1983,2,15,277.91639521704326
1983,2,16,276.0590592685313
1983,2,17,277.3178744371111
1983,2,18,276.38363447072567
1983,2,19,276.13019779964367
1983,2,20,276.49195035353824
1983,2,21,275.96662731784187
1983,2,22,277.14397040488825
1983,2,23,276.8602735456646
1983,2,24,277.49452985412165
1983,2,25,
1983,2,26,
1983,2,27,
1983,2,28,
1983,2,29,
1983,2,30,
1983,2,31,
1983,2,32,
1983,2,33,
1983,2,34,
1983,2,35,
1983,2,36,
1983,2,37,
1983,2,38,
1983,2,39,
1983,2,40,
1983,2,41,
1983,2,42,
1983,2,43,
1983,2,44,
1983,2,45,
1983,2,46,
1983,2,47,
1983,2,48,
1983,2,49,
1983,2,50,
1983,3,0,277.06362955212967
1983,3,1,277.30470220829415
1983,3,2,276.49967938526163
1983,3,3,277.01141740604714
1983,3,4,277.5918240521284
1983,3,5,277.62323043871913
1983,3,6,277.21689882541693
1983,3,7,277.2823428708348
1983,3,8,276.39947347828854
1983,3,9,277.2315858755562
1983,3,10,276.1349441401814
1983,3,11,276.3590162603235
1983,3,12,277.19761761482357
1983,3,13,277.19430613136984
1983,3,14,277.931368747282
1983,3,15,277.30262757352847
1983,3,16,276.93242949768916
1983,3,17,276.88062991306504
1983,3,18,276.73623714329335
1983,3,19,276.88526186784765
1983,3,20,277.3260995102762
1983,3,21,277.59994099010606
1983,3,22,276.6819817776767
1983,3,23,277.59508111601855
1983,3,24,277.4989280020954
1983,3,25,
1983,3,26,
1983,3,27,
1983,3,28,
1983,3,29,
1983,3,30,
1983,3,31,
1983,3,32,
1983,3,33,
1983,3,34,
1983,3,35,
1983,3,36,
1983,3,37,
1983,3,38,
1983,3,39,
1983,3,40,
1983,3,41,
1983,3,42,
1983,3,43,
1983,3,44,
1983,3,45,
1983,3,46,
1983,3,47,
1983,3,48,
1983,3,49,
1983,3,50,
1983,4,0,276.3716634524934
1983,4,1,276.63563118010376
1983,4,2,277.05456392309725
1983,4,3,276.38026271553935
1983,4,4,277.0518555159878
1983,4,5,276.4320253001498
1983,4,6,276.62694805700204
1983,4,7,277.0725044603347
1983,4,8,276.7327269687111
1983,4,9,277.14162509593615
1983,4,10,276.717710453102
1983,4,11,276.73628173215695
1983,4,12,276.0030280778883
1983,4,13,277.43095743376136
1983,4,14,276.482406105985
1983,4,15,277.07729173507227
1983,4,16,276.26781079560664
1983,4,17,276.4141360961432
1983,4,18,276.136528209923
1983,4,19,276.40609235017934
1983,4,20,276.6284204889889
1983,4,21,276.6788951965166
1983,4,22,275.9022504897292
1983,4,23,276.6765255845142
1983,4,24,277.1667464101923
1983,4,25,
1983,4,26,
1983,4,27,
1983,4,28,
1983,4,29,
1983,4,30,
1983,4,31,
1983,4,32,
1983,4,33,
1983,4,34,
1983,4,35,
1983,4,36,
1983,4,37,
1983,4,38,
1983,4,39,
1983,4,40,
1983,4,41,
1983,4,42,
1983,4,43,
1983,4,44,
1983,4,45,
1983,4,46,
1983,4,47,
1983,4,48,
1983,4,49,
1983,4,50,
1984,2,0,277.531032774112
1984,2,1,277.4969175812472
1984,2,2,278.32115365747984
1984,2,3,276.94148921197336
1984,2,4,277.0648168087726
1984,2,5,277.2079651076941
1984,2,6,277.7295651060591
1984,2,7,277.1719939082841
1984,2,8,276.7012863299845
1984,2,9,277.72043410018375
1984,2,10,276.4252427248328
1984,2,11,276.9432532256457
1984,2,12,277.0167209372782
1984,2,13,277.4085511923135
1984,2,14,277.87371960030737
1984,2,15,277.72555024165945
1984,2,16,277.01647427678205
1984,2,17,278.0056949913542
1984,2,18,276.9932200486895
1984,2,19,277.1601493228902
1984,2,20,277.4299115472076
1984,2,21,278.0881870500479
1984,2,22,277.7619651367044
1984,2,23,277.4994672104549
1984,2,24,277.1916071146688
1984,2,25,
1984,2,26,
1984,2,27,
1984,2,28,
1984,2,29,
1984,2,30,
1984,2,31,
1984,2,32,
1984,2,33,
1984,2,34,
1984,2,35,
1984,2,36,
1984,2,37,
1984,2,38,
1984,2,39,
1984,2,40,
1984,2,41,
1984,2,42,
1984,2,43,
1984,2,44,
1984,2,45,
1984,2,46,
1984,2,47,
1984,2,48,
1984,2,49,
1984,2,50,
1984,3,0,277.53911426843536
1984,3,1,278.11393677971887
1984,3,2,277.6627874135044
1984,3,3,276.8113864600925
1984,3,4,276.75136639234546
1984,3,5,278.3913532071549
1984,3,6,277.786820322165
1984,3,7,277.0986948336622
1984,3,8,276.72739911910685
1984,3,9,277.6613945911812
1984,3,10,278.1860851814157
1984,3,11,278.3442810348138
1984,3,12,277.60429005353336
1984,3,13,277.09526096123835
1984,3,14,277.57767661337476
1984,3,15,277.8988946210243
1984,3,16,277.12429758612063
1984,3,17,277.79566866885943
1984,3,18,276.8475616471872
1984,3,19,277.4383958170632
1984,3,20,277.7669647087103
1984,3,21,277.5722435271473
1984,3,22,278.05288473231815
1984,3,23,277.5955188759127
1984,3,24,277.98624395826926
1984,3,25,
1984,3,26,
1984,3,27,
