year,leadtime,number,t2m
1982,2,0,269.4134950230228
1982,2,1,267.4672411237727
1982,2,2,268.9285892316203
1982,2,3,266.75808759174276
1982,2,4,269.6454759178624
1982,2,5,267.9472397365925
1982,2,6,268.75781617027815
1982,2,7,267.4984084430865
1982,2,8,270.1133142083187
1982,2,9,269.1066290835099
1982,2,10,267.1255025564654
1982,2,11,269.3179985934621
1982,2,12,270.19631473738144
1982,2,13,268.2138788658499
1982,2,14,268.44841548276
1982,2,15,269.49422317367805
1982,2,16,268.61165044604587
1982,2,17,267.6256720562088
1982,2,18,268.55910587014614
1982,2,19,266.7554405978783
1982,2,20,270.5968841389417
1982,2,21,265.10938655607305
1982,2,22,268.7505727726762
1982,2,23,267.0414554757573
1982,2,24,268.6641206703254
1982,2,25,
1982,2,26,
1982,2,27,
1982,2,28,
1982,2,29,
1982,2,30,
1982,2,31,
1982,2,32,
1982,2,33,
1982,2,34,
1982,2,35,
1982,2,36,
1982,2,37,
1982,2,38,
1982,2,39,
1982,2,40,
1982,2,41,
1982,2,42,
1982,2,43,
1982,2,44,
1982,2,45,
1982,2,46,
1982,2,47,
1982,2,48,
1982,2,49,
1982,2,50,
1982,3,0,267.30541714053646
1982,3,1,269.4578621323311
1982,3,2,267.8808313362417
1982,3,3,266.1220025969694
1982,3,4,266.8159122342931
1982,3,5,268.47708680664283
1982,3,6,267.9680438287087
1982,3,7,269.0933096224794
1982,3,8,266.9857467764477
1982,3,9,269.7989680533647
1982,3,10,270.427832407981
1982,3,11,269.0714992918372
1982,3,12,267.7159112441191
1982,3,13,268.8169323013788
1982,3,14,267.7581886563982
1982,3,15,268.63160124208684
1982,3,16,267.740049983721
1982,3,17,267.7172969495428
1982,3,18,267.98143940626323
1982,3,19,270.04431015004496
1982,3,20,267.9929013964482
1982,3,21,268.0108179298599
1982,3,22,269.1791743153265
1982,3,23,267.09052017333767
1982,3,24,268.8097708213262
1982,3,25,
1982,3,26,
1982,3,27,
1982,3,28,
1982,3,29,
1982,3,30,
1982,3,31,
1982,3,32,
1982,3,33,
1982,3,34,
1982,3,35,
1982,3,36,
1982,3,37,
1982,3,38,
1982,3,39,
1982,3,40,
1982,3,41,
1982,3,42,
1982,3,43,
1982,3,44,
1982,3,45,
1982,3,46,
1982,3,47,
1982,3,48,
1982,3,49,
1982,3,50,
1982,4,0,266.7046398824575
1982,4,1,269.365590567562
1982,4,2,267.853808956716
1982,4,3,267.4381860949097
1982,4,4,269.8080985005246
1982,4,5,266.068531299406
1982,4,6,269.55259551158565
1982,4,7,269.3850113876611
1982,4,8,268.32000191893604
1982,4,9,265.7196675324292
1982,4,10,269.7054368752201
1982,4,11,267.26757976029336
1982,4,12,269.2737698657948
1982,4,13,267.67710569221504
1982,4,14,269.4577773782989
1982,4,15,269.89738044058987
