"","Member","Year","Leadtime","Precipitation"
"1",0,1982,2,1.74715784222335
"2",1,1982,2,1.91625163583331
"3",2,1982,2,3.74246331191931
"4",3,1982,2,2.90930836134989
"5",4,1982,2,4.56180041281043
"6",5,1982,2,3.11308694636144
"7",6,1982,2,1.50568761700963
"8",7,1982,2,0.825677295105166
"9",8,1982,2,2.21799411143464
"10",9,1982,2,1.89365818187577
"11",10,1982,2,2.72869358321114
"12",11,1982,2,1.88803047470472
"13",12,1982,2,4.1071169546484
"14",13,1982,2,2.50971871239043
"15",14,1982,2,4.2240133708953
"16",15,1982,2,0.800793437040581
"17",16,1982,2,3.48516389033784
"18",17,1982,2,2.12238505740087
"19",18,1982,2,3.72482273339639
"20",19,1982,2,2.36918316006087
"21",20,1982,2,2.36625224842779
"22",21,1982,2,2.75056872909031
"23",22,1982,2,2.90254969709497
"24",23,1982,2,1.87161458022073
"25",24,1982,2,2.42337870572429
"26",0,1983,2,3.0155716392439
"27",1,1983,2,1.86355945712953
"28",2,1983,2,4.23964217542309
"29",3,1983,2,2.31273083374078
"30",4,1983,2,3.05065273909817
"31",5,1983,2,3.77154754237844
"32",6,1983,2,2.78026566054773
"33",7,1983,2,2.34880752600385
"34",8,1983,2,4.65144914932869
"35",9,1983,2,3.28927076985337
"36",10,1983,2,1.80649443187063
"37",11,1983,2,1.0038107484631
"38",12,1983,2,2.44181179135154
"39",13,1983,2,3.3012436659588
"40",14,1983,2,4.69205965506859
"41",15,1983,2,1.84190299333496
"42",16,1983,2,2.85090720299039
"43",17,1983,2,3.84563331903408
"44",18,1983,2,2.7123170712607
"45",19,1983,2,2.4635917035865
"46",20,1983,2,3.04505905631446
"47",21,1983,2,3.50774943521373
"48",22,1983,2,2.82348106759969
"49",23,1983,2,4.08311346394301
"50",24,1983,2,2.45320865769234
"51",0,1984,2,3.45037456948014
"52",1,1984,2,3.67373672177885
"53",2,1984,2,3.19124952233911
"54",3,1984,2,2.39379917483836
"55",4,1984,2,2.42112896266123
"56",5,1984,2,4.02404174766379
"57",6,1984,2,2.87886251836599
"58",7,1984,2,2.624762343161
"59",8,1984,2,3.63658767448194
"60",9,1984,2,1.96541209023269
"61",10,1984,2,2.30902204321799
"62",11,1984,2,4.03520968721509
"63",12,1984,2,2.70381314731775
"64",13,1984,2,2.47841037451562
"65",14,1984,2,1.65785210465279
"66",15,1984,2,3.86079903277546
"67",16,1984,2,2.8228650941946
"68",17,1984,2,2.51017128558412
"69",18,1984,2,4.21898460112024
"70",19,1984,2,3.81778192646933
"71",20,1984,2,4.69906629172
"72",21,1984,2,0.944923785609886
"73",22,1984,2,5.10772696801777
"74",23,1984,2,3.83928172620588
"75",24,1984,2,2.59254323881719
"76",0,1985,2,2.12741553249937
"77",1,1985,2,2.23421249288354
"78",2,1985,2,3.60757922299158
"79",3,1985,2,3.13249295487018
"80",4,1985,2,2.1448169258704
"81",5,1985,2,2.30666398847948
"82",6,1985,2,3.48223836075957
"83",7,1985,2,1.90113150464528
"84",8,1985,2,3.71269745240556
"85",9,1985,2,2.04388462245784
"86",10,1985,2,2.65840943179863
"87",11,1985,2,4.01647013443741
"88",12,1985,2,3.56534497279087
"89",13,1985,2,4.61081225144539
"90",14,1985,2,3.53207389955117
"91",15,1985,2,2.93870055186415
"92",16,1985,2,4.0113376107321
"93",17,1985,2,0.92529083321579
"94",18,1985,2,1.94853192351033
"95",19,1985,2,3.0995942777778
"96",20,1985,2,4.76482570257779
"97",21,1985,2,1.81896680315545
"98",22,1985,2,2.67928322310998
"99",23,1985,2,1.70323822597586
"100",24,1985,2,2.1070477436766
"101",0,1986,2,3.32166286039622
"102",1,1986,2,2.25737794606956
"103",2,1986,2,1.4372995015844
"104",3,1986,2,2.22499962268685
"105",4,1986,2,2.97429819249839
"106",5,1986,2,2.66874066533697
"107",6,1986,2,3.07406683778255
"108",7,1986,2,3.00563461107846
"109",8,1986,2,3.63427611445551
"110",9,1986,2,3.78282294016698
"111",10,1986,2,2.65838876306334
"112",11,1986,2,1.77145059452376
"113",12,1986,2,3.51342521693623
"114",13,1986,2,2.58197065218379
"115",14,1986,2,3.1081872034704
"116",15,1986,2,1.55383459092818
"117",16,1986,2,2.36972572761392
"118",17,1986,2,1.02924471090148
"119",18,1986,2,2.40640615366138
"120",19,1986,2,2.40376623204997
"121",20,1986,2,3.2105549025628
"122",21,1986,2,3.17834262956292
"123",22,1986,2,2.95068780045542
"124",23,1986,2,3.08893469335633
"125",24,1986,2,3.63151144631278
"126",0,1987,2,5.11221285621105
"127",1,1987,2,2.2920310041818
"128",2,1987,2,3.80783791905488
"129",3,1987,2,2.19782452195521
"130",4,1987,2,2.5128953091987
"131",5,1987,2,3.02259010742852
"132",6,1987,2,3.57015498812997
"133",7,1987,2,4.50977743200716
"134",8,1987,2,3.67291431019918
"135",9,1987,2,3.48968967921475
"136",10,1987,2,2.11173690576578
"137",11,1987,2,3.17556145521316
"138",12,1987,2,2.94602579148438
"139",13,1987,2,3.53299708168546
"140",14,1987,2,2.5889240820847
"141",15,1987,2,2.83595563554393
"142",16,1987,2,1.54298382904414
"143",17,1987,2,2.64528313437309
"144",18,1987,2,1.61106036827922
"145",19,1987,2,2.70228072867634
"146",20,1987,2,2.85125795655839
"147",21,1987,2,2.58690943870862
"148",22,1987,2,2.16382273410251
"149",23,1987,2,1.74517271456871
"150",24,1987,2,3.13172246564969
"151",0,1988,2,3.28930560753432
"152",1,1988,2,2.3263030715365
"153",2,1988,2,3.16349616821624
"154",3,1988,2,3.36053509514261
"155",4,1988,2,1.88807827650952
"156",5,1988,2,0.71688989559604
"157",6,1988,2,3.39774130868397
"158",7,1988,2,2.03006775768428
