"","Member","Year","Leadtime","Precipitation"
"1",0,1982,2,1.61983928520304
"2",1,1982,2,1.80270561576959
"3",2,1982,2,3.71546987299366
"4",3,1982,2,3.02079724652555
"5",4,1982,2,4.53389830288541
"6",5,1982,2,3.15771737687333
"7",6,1982,2,1.41931648173774
"8",7,1982,2,0.727643719478869
"9",8,1982,2,2.04751234418673
"10",9,1982,2,1.73637171382786
"11",10,1982,2,2.71972699686767
"12",11,1982,2,1.81981728986993
"13",12,1982,2,4.24306723256358
"14",13,1982,2,2.3703529591526
"15",14,1982,2,4.28676927385827
"16",15,1982,2,0.781159992884561
"17",16,1982,2,3.42583806520291
"18",17,1982,2,2.13807883848123
"19",18,1982,2,3.69396285912794
"20",19,1982,2,2.24709417985985
"21",20,1982,2,2.28397857948134
"22",21,1982,2,2.80927490264112
"23",22,1982,2,2.88294028942884
"24",23,1982,2,1.73946800189388
"25",24,1982,2,2.38352979258304
"26",0,1983,2,2.92980025833923
"27",1,1983,2,1.76955458865431
"28",2,1983,2,4.3221430283909
"29",3,1983,2,2.1749246255463
"30",4,1983,2,2.96222137775663
"31",5,1983,2,3.75197184617778
"32",6,1983,2,2.72436537709166
"33",7,1983,2,2.14930855999824
"34",8,1983,2,4.74207179520158
"35",9,1983,2,3.24380417462359
"36",10,1983,2,1.68173869757156
"37",11,1983,2,0.898868354090013
"38",12,1983,2,2.36142538198653
"39",13,1983,2,3.23115680957328
"40",14,1983,2,4.72826105513428
"41",15,1983,2,1.79917413463984
"42",16,1983,2,2.81514936229286
"43",17,1983,2,3.85471879159021
"44",18,1983,2,2.52427519464306
"45",19,1983,2,2.23168293389153
"46",20,1983,2,2.92285026162487
"47",21,1983,2,3.45891115723832
"48",22,1983,2,2.82505382910341
"49",23,1983,2,4.08514105001176
"50",24,1983,2,2.35270194524164
"51",0,1984,2,3.27281587142714
"52",1,1984,2,3.64590936850914
"53",2,1984,2,3.30555725924044
"54",3,1984,2,2.32632183728886
"55",4,1984,2,2.40470958726993
"56",5,1984,2,4.08705086587153
"57",6,1984,2,2.77313587526395
"58",7,1984,2,2.63562966155417
"59",8,1984,2,3.58524883846697
"60",9,1984,2,1.88337636581542
"61",10,1984,2,2.13652983610587
"62",11,1984,2,4.10085976129941
"63",12,1984,2,2.67223862096951
"64",13,1984,2,2.37473851465756
"65",14,1984,2,1.50189038816294
"66",15,1984,2,3.78290960556889
"67",16,1984,2,2.67386809019723
"68",17,1984,2,2.37986856939039
"69",18,1984,2,4.19341452888069
"70",19,1984,2,3.7300640990704
"71",20,1984,2,4.61637306056033
"72",21,1984,2,0.871467233150883
"73",22,1984,2,5.14189287187305
"74",23,1984,2,3.80868977379014
"75",24,1984,2,2.52809885485492
"76",0,1985,2,2.00003049384843
"77",1,1985,2,2.21419607085938
"78",2,1985,2,3.69474264850209
"79",3,1985,2,3.0820073804192
"80",4,1985,2,2.07521295803654
"81",5,1985,2,2.31082714821211
"82",6,1985,2,3.38377137607636
"83",7,1985,2,1.71607971666262
"84",8,1985,2,3.74552334449898
"85",9,1985,2,1.92597451037749
"86",10,1985,2,2.55919621564391
"87",11,1985,2,4.07268250368454
"88",12,1985,2,3.53963319783269
"89",13,1985,2,4.68582449659695
"90",14,1985,2,3.4065558170031
"91",15,1985,2,2.87481799286408
"92",16,1985,2,4.11558871232073
"93",17,1985,2,0.868162676620508
"94",18,1985,2,1.94354495927044
"95",19,1985,2,3.14577451312736
"96",20,1985,2,4.68169680890735
"97",21,1985,2,1.78245731978587
"98",22,1985,2,2.65014397640763
"99",23,1985,2,1.66667442607501
"100",24,1985,2,2.04102462014538
"101",0,1986,2,3.31301551794068
"102",1,1986,2,2.21659580598116
"103",2,1986,2,1.31653921231834
"104",3,1986,2,2.15275746351399
"105",4,1986,2,3.08840067266957
"106",5,1986,2,2.65390280932241
"107",6,1986,2,3.01303866789191
"108",7,1986,2,2.95795327526419
"109",8,1986,2,3.65872305920986
"110",9,1986,2,3.78651974596031
"111",10,1986,2,2.63988261015059
"112",11,1986,2,1.57719611157062
"113",12,1986,2,3.48445556038766
"114",13,1986,2,2.57124628354652
"115",14,1986,2,3.01186985623106
